Year,All
1950,1112386605
1951,1207493505
1952,1149133626
1953,1202187068
1954,1247852971
1955,1412124936
1956,1426846724
1957,1509485779
1958,1732411761
1959,1510903918
1960,1427503209
1961,1566698351
1962,1661250567
1963,1695421638
1964,1780558960
1965,1592001390
1966,1648332077
1967,1427247155
1968,1749906064
1969,2369215904
1970,2785478176
1971,2777450348
1972,3065884272
1973,3410360942
1974,3805414238
1975,4120053023
1976,4439636618
1977,4461187207
1978,4685416787
1979,5338444904
1980,5366398087
1981,5771142423
1982,5942748144
1983,4842989852
1984,6285976979
1985,6458159613
1986,6562188592
1987,6880522541
1988,7576831225
1989,7951600234
1990,7847767966
1991,8124983834
1992,7820100012
1993,8348122020
1994,8585401121
1995,8605115632
1996,8669569188
1997,8710485404
1998,8896210598
1999,8152495159
2000,8156217771
2001,8046885670
2002,8070727352
2003,8553682917
2004,7947831434
2005,8635932694
2006,8527760916
2007,9312358965
2008,8816839651
2009,8485503608
2010,9014847387
2011,8111239128
2012,8004463109
2013,9144529384
2014,8714986853
2015,7469720201
2016,7469720201
2017,7469720201
2018,7469720201
2019,7469720201
2020,7469720201
2021,7469720201
2022,7469720201
