Year,Arius_spp1,Brachydeuterus_auritus_1,Pseudotolithus_spp1,Sparidae_1,Cephalopholis_Taeniops_1,Diplodus_spp1,Pseudupeneus_prayensis_1,Seriola_spp_1,Pseudotolithus_spp_3,Arius_spp_3,Cynoglossus_spp_3,Dentex_spp_3,Galeoides_decadactylus_3,Pagellus_spp_3,Pomadasys_spp_3,Galeoides_decadactylus_4,Arius_spp_4,Brachydeuterus_auritus_4,Cynoglossus_spp_4,Dentex_macrophthalmus_4,Dentex_spp_4,Merluccius_polli_4,Pagellus_bellottii_4,Pomadasys_spp_4,Pseudotolithus_spp_4,Parapenaeus_longirostris_5,Penaeus_notialis_5,Aristeus_varidens_5,Sepia_spp_6
1990,448819,355641,348395,332251,134667,134667,134667,134667,239,239,239,496,239,1095,239,83336,83336,83336,89238,83336,83336,83336,92930,83336,83336,1858,26454,919,4967
1991,448325,355641,348326,332016,134667,134667,134667,134667,244,244,244,496,244,1095,244,83336,83336,83336,89238,83336,83336,83336,92930,83336,83336,1858,26454,919,4967
1992,448556,355641,350155,334829,134667,134667,134667,134667,249,249,249,496,249,1095,249,83336,83336,83336,89238,83336,83336,83336,92930,83336,83336,1858,26454,919,4967
1993,449575,355641,346705,329907,134667,134667,134667,134667,246,246,246,496,246,1095,246,83336,83336,83336,89238,83336,83336,83336,92930,83336,83336,1858,26454,919,4967
1994,446844,355641,348118,331313,134667,134667,134667,134667,292,292,292,496,292,1095,292,83336,83336,83336,89238,83336,83336,83336,92930,83336,83336,1858,26454,919,4967
1995,449249,355641,355641,343266,134667,134667,134667,134667,315,315,315,496,315,1095,315,83336,83336,83336,83336,83336,83336,83336,92930,83336,83336,1858,26454,919,4967
1996,452633,336355,336355,315142,134667,134667,134667,134667,254,254,254,496,254,1095,254,91447,91447,91447,91447,91447,91447,91447,92930,91447,91447,1858,26454,919,4967
1997,438651,352359,352359,335533,140404,140404,140404,140404,249,249,249,496,249,1095,249,92930,92930,92930,92930,92930,92930,92930,92930,92930,92930,1858,26454,919,4967
1998,456461,347963,347963,379123,148158,148158,148158,148158,199,199,199,496,199,1095,199,118389,118389,118389,118389,118389,118389,118389,118389,118389,118389,1858,26454,919,4967
1999,462787,207730,207730,230771,155009,155009,155009,155009,211,211,211,496,211,1095,211,177799,177799,177799,177799,177799,177799,177799,177799,177799,177799,1858,26454,919,4967
2000,396704,370421,370421,396704,173856,173856,173856,173856,208,208,208,496,208,1095,208,159344,159344,159344,159344,159344,159344,159344,159344,159344,159344,2316,26454,919,5998
2001,509893,491117,491117,509893,173856,173856,173856,173856,220,220,220,496,220,1095,220,145890,145890,145890,145890,145890,145890,145890,145890,145890,145890,2370,30203,1715,6453
2002,481764,457701,457701,481764,150669,150669,150669,150669,243,243,243,1095,243,1095,243,100738,100738,100738,100738,100738,100738,100738,100738,100738,100738,2535,25447,1173,2450
