Year,Arius_spp1,Brachydeuterus_auritus_1,Pseudotolithus_spp1,Sparidae_1,Cephalopholis_Taeniops_1,Diplodus_spp1,Pseudupeneus_prayensis_1,Seriola_spp_1,Pseudotolithus_spp_3,Arius_spp_3,Cynoglossus_spp_3,Dentex_spp_3,Galeoides_decadactylus_3,Pagellus_spp_3,Pomadasys_spp_3,Galeoides_decadactylus_4,Arius_spp_4,Brachydeuterus_auritus_4,Cynoglossus_spp_4,Dentex_macrophthalmus_4,Dentex_spp_4,Merluccius_polli_4,Pagellus_bellottii_4,Pomadasys_spp_4,Pseudotolithus_spp_4,Parapenaeus_longirostris_5,Penaeus_notialis_5,Aristeus_varidens_5,Sepia_spp_6
2003,544915,510238,510238,544915,153803,153803,153803,153803,260,260,260,2175,260,2175,260,102628,102628,102628,102628,102628,102628,102628,102628,102628,102628,1813,33950,363,3637
2004,479183,442173,442173,479183,156536,156536,156536,156536,221,221,221,1060,221,1060,221,117020,117020,117020,117020,117020,117020,117020,117020,117020,117020,2319,29055,2284,1779
2005,79877,28802,28802,79877,118854,118854,118854,118854,239,239,239,879,239,879,239,118593,118593,118593,118593,118593,118593,118593,118593,118593,118593,2934,24716,741,1365
2006,219336,160058,160058,219336,124740,124740,124740,124740,210,210,210,1464,210,1464,210,107326,107326,107326,107326,107326,107326,107326,107326,107326,107326,2486,20746,2084,1464
2007,538237,460609,460609,538237,123686,123686,123686,123686,191,191,191,763,191,763,191,66375,66375,66375,66375,66375,66375,66375,66375,66375,66375,2799,22698,2758,4239
2008,566269,462027,462027,566269,118311,118311,118311,118311,189,189,189,1103,189,1103,189,106031,106031,106031,106031,106031,106031,106031,106031,106031,106031,4358,28906,563,2589
2009,807544,676292,676292,807544,139396,139396,139396,139396,136,136,136,1173,136,1173,136,104758,104758,104758,104758,104758,104758,104758,104758,104758,104758,5289,30107,983,4844
2010,738153,559430,559430,738153,144752,144752,144752,144752,145,145,145,1318,145,1318,145,48742,48742,48742,48742,48742,48742,48742,48742,48742,48742,4226,20990,1678,5877
2011,902595,719317,719317,902595,145282,145282,145282,145282,153,153,153,2762,153,2762,153,48424,48424,48424,48424,48424,48424,48424,48424,48424,48424,3628,32961,681,4818
2012,924124,744417,744417,924124,146373,146373,146373,146373,148,148,148,2201,148,2201,148,95347,95347,95347,95347,95347,95347,95347,95347,95347,95347,2439,33179,137,4030
2013,961958,775374,775374,961958,59054.88636,59055,59055,59055,144,144,144,3146,144,3146,144,53612,53612,53612,53612,53612,53612,53612,53612,53612,53612,4079,35674,832,4435.333333
2014,775337,678890,678890,775337,140269.4336,140269,140269,140269,139,139,139,3377,139,3377,139,47557,47557,47557,47557,47557,47557,47557,47557,47557,47557,2747,29277,1244,8263
2015,858205,584762,584762,858205,158541.9934,158542,158542,158542,150,150,150,3162,150,3162,150,75432,75432,75432,75432,75432,75432,75432,75432,75432,75432,3110,29575,1857,6316
2016,1031558,647039,647039,1031558,132378.8856,132379,132379,132379,152,152,152,2934,152,2934,152,165539,165539,165539,165539,165539,165539,165539,165539,165539,165539,1922,33510,1055,9767
2017,2386737,1129702,1129702,2386737,113211.7788,113212,113212,113212,156,156,156,2934,156,2934,156,217432,217432,217432,217432,217432,217432,217432,217432,217432,217432,3436,34174,819,6252
2018,2572012,1291780,1291780,2572012,59537.11054,59537,59537,59537,156,156,156,2934,156,2934,156,171959,171959,171959,171959,171959,171959,171959,171959,171959,171959,1214,39159,810,6986
2019,2583526,1239058,1239058,2583526,75132,75132,75132,75132,157,157,157,2934,157,2934,157,240907,240907,240907,240907,240907,240907,240907,240907,240907,240907,2524,38964,800,5931
2020,3083865,1729255,1729255,3083865,75132,75132,75132,75132,153,153,153,2934,153,2934,153,133594,133594,133594,133594,133594,133594,133594,133594,133594,133594,2618,30617,969,6492
2021,3106789,1735970,1735970,3106789,75132,75132,75132,75132,161,161,161,2934,161,2934,161,168303,168303,168303,168303,168303,168303,168303,168303,168303,168303,2636,33562,1140,12078
