year,stock,capture,index
2000,Callinectes bellicosus,3927.65,0.00151981
2000,Stomolophus spp.,833,6.9
2001,Callinectes bellicosus,3085.451,0.001398673
2001,Stomolophus spp.,833,6.9
2002,Callinectes bellicosus,2630.597,0.001371982
2002,Stomolophus spp.,6176,51.5
2003,Callinectes bellicosus,2181.102,0.00137813
2003,Stomolophus spp.,1158,9.7
2004,Callinectes bellicosus,2378.792,0.001435485
2004,Stomolophus spp.,3610,30.1
2005,Callinectes bellicosus,2281.042,0.001423963
2005,Stomolophus spp.,12372,103.1
2006,Callinectes bellicosus,2291.399,0.001436535
2006,Stomolophus spp.,14433,120.3
2007,Callinectes bellicosus,2824.086,0.001453129
2007,Stomolophus spp.,4300,35.8
2008,Callinectes bellicosus,2491.195,0.001420868
2008,Stomolophus spp.,6730,56.1
2009,Callinectes bellicosus,2343.712,0.001396614
2009,Stomolophus spp.,9442,78.7
2010,Callinectes bellicosus,1876.163,0.001395945
2010,Stomolophus spp.,19114,159.3
2011,Callinectes bellicosus,2788.484,0.001421637
2011,Stomolophus spp.,36070,300.6
2012,Callinectes bellicosus,2407.615,0.001458006
2012,Stomolophus spp.,50426,420.2
2013,Callinectes bellicosus,3127.137,0.001453568
2013,Stomolophus spp.,16199,81
2014,Callinectes bellicosus,4764.394,0.001438457
2014,Stomolophus spp.,30000,85.7
2015,Callinectes bellicosus,2913.967,0.001267198
2015,Stomolophus spp.,32000,106.7
2016,Callinectes bellicosus,2986.125,0.001338662
2016,Stomolophus spp.,6000,20
2017,Callinectes bellicosus,4548.273,0.001355912
2017,Stomolophus spp.,47000,134.3
2018,Callinectes bellicosus,5295.632,0.001322095
2018,Stomolophus spp.,82000,86.3
2019,Callinectes bellicosus,5757.123,0.00128795
2019,Stomolophus spp.,54000,60
2020,Callinectes bellicosus,6072.118,0.001204924
2020,Stomolophus spp.,13180,22
2021,Callinectes bellicosus,7864.627,0.001166598
2021,Stomolophus spp.,97600,102.7
2022,Callinectes bellicosus,5954.77,0.001074364
2022,Stomolophus spp.,55000,110
2023,Callinectes bellicosus,6681.921,0.001075905
2023,Stomolophus spp.,1907,38.1
